Symbol,Name,Sector
003070,코오롱글로벌,건설
003075,코오롱글로벌우,건설
450140,코오롱모빌리티그룹,유통
45014K,코오롱모빌리티그룹우,유통
002025,코오롱우,기타금융
120110,코오롱인더,화학
120115,코오롱인더우,화학
021240,코웨이,일반서비스
036420,콘텐트리중앙,오락·문화
024720,콜마홀딩스,기타금융
031820,콤텍시스템,IT 서비스
192400,쿠쿠홀딩스,기타금융
284740,쿠쿠홈시스,일반서비스
264900,크라운제과,음식료·담배
26490K,크라운제과우,음식료·담배
005740,크라운해태홀딩스,기타금융
005745,크라운해태홀딩스우,기타금융
259960,크래프톤,IT 서비스
020120,키다리스튜디오,IT 서비스
039490,키움증권,증권
014580,태경비케이,비금속
015890,태경산업,화학
006890,태경케미컬,화학
003240,태광산업,화학
011280,태림포장,종이·목재
004100,태양금속,운송장비·부품
004105,태양금속우,운송장비·부품
009410,태영건설,건설
009415,태영건설우,건설
001420,태원물산,운송장비·부품
055490,테이팩스,화학
078000,텔코웨어,IT 서비스
214420,토니모리,화학
019180,티에이치엔,전기·전자
363280,티와이홀딩스,기타금융
36328K,티와이홀딩스우,기타금융
091810,티웨이항공,운송·창고
004870,티웨이홀딩스,비금속
034230,파라다이스,오락·문화
005690,파미셀,제약
036580,팜스코,음식료·담배
004720,팜젠사이언스,제약
028670,팬오션,운송·창고
010820,퍼스텍,금속
016800,퍼시스,기타제조
001020,페이퍼코리아,종이·목재
090080,평화산업,운송장비·부품
010770,평화홀딩스,운송장비·부품
022100,포스코DX,일반서비스
058430,포스코스틸리온,금속
047050,포스코인터내셔널,유통
003670,포스코퓨처엠,전기·전자
017810,풀무원,음식료·담배
103140,풍산,금속
005810,풍산홀딩스,기타금융
950210,프레스티지바이오파마,일반서비스
009810,플레이그램,유통
086790,하나금융지주,기타금융
293480,하나제약,제약
039130,하나투어,일반서비스
352820,하이브,오락·문화
071090,하이스틸,금속
000080,하이트진로,음식료·담배
000087,하이트진로2우B,음식료·담배
000140,하이트진로홀딩스,기타금융
000145,하이트진로홀딩스우,기타금융
152550,한국ANKOR유전,기타금융
036460,한국가스공사,전기·가스
005430,한국공항,운송·창고
071050,한국금융지주,기타금융
071055,한국금융지주우,기타금융
010040,한국내화,비금속
025540,한국단자,전기·전자
010100,한국무브넥스,운송장비·부품
004090,한국석유,비금속
002200,한국수출포장,종이·목재
002960,한국쉘석유,화학
000240,한국앤컴퍼니,기타금융
123890,한국자산신탁,기타금융
015760,한국전력,전기·가스
006200,한국전자홀딩스,기타금융
027970,한국제지,종이·목재
023350,한국종합기술,일반서비스
025890,한국주강,기계·장비
000970,한국주철관,금속
104700,한국철강,금속
017960,한국카본,금속
161890,한국콜마,화학
161390,한국타이어앤테크놀로지,화학
034830,한국토지신탁,기타금융
007280,한국특강,금속
168490,한국패러랠,기타금융
047810,한국항공우주,운송장비·부품
123690,한국화장품,유통
003350,한국화장품제조,화학
011500,한농화성,화학
002390,한독,제약
053690,한미글로벌,일반서비스
042700,한미반도체,기계·장비
008930,한미사이언스,기타금융
128940,한미약품,제약
009240,한샘,유통
020000,한섬,섬유·의류
003680,한성기업,음식료·담배
105630,한세실업,섬유·의류
069640,한세엠케이,유통
016450,한세예스24홀딩스,섬유·의류
010420,한솔PNS,유통
009180,한솔로지스틱스,운송·창고
213500,한솔제지,종이·목재
014680,한솔케미칼,화학
004710,한솔테크닉스,전기·전자
004150,한솔홀딩스,기타금융
025750,한솔홈데코,종이·목재
004960,한신공영,건설
011700,한신기계,기계·장비
001750,한양증권,증권
001755,한양증권우,증권
018880,한온시스템,기계·장비
009420,한올바이오파마,제약
014130,한익스프레스,운송·창고
300720,한일시멘트,비금속
002220,한일철강,금속
006390,한일현대시멘트,비금속
003300,한일홀딩스,비금속
051600,한전KPS,건설
052690,한전기술,일반서비스
130660,한전산업,일반서비스
002320,한진,운송·창고
003480,한진중공업홀딩스,전기·가스
180640,한진칼,기타금융
18064K,한진칼우,기타금융
005110,한창,유통
009460,한창제지,종이·목재
372910,한컴라이프케어,의료·정밀기기
000880,한화,화학
00088K,한화3우B,화학
452260,한화갤러리아,유통
45226K,한화갤러리아우,유통
451800,한화리츠,부동산
489790,한화비전,기타금융
088350,한화생명,보험
000370,한화손해보험,보험
009830,한화솔루션,화학
009835,한화솔루션우,화학
272210,한화시스템,전기·전자
012450,한화에어로스페이스,운송장비·부품
082740,한화엔진,기계·장비
042660,한화오션,운송장비·부품
000885,한화우,화학
003530,한화투자증권,증권
003535,한화투자증권우,증권
195870,해성디에스,전기·전자
101530,해태제과식품,음식료·담배
143210,핸즈코퍼레이션,운송장비·부품
000720,현대건설,건설
000725,현대건설우,건설
453340,현대그린푸드,유통
086280,현대글로비스,운송·창고
064350,현대로템,운송장비·부품
079430,현대리바트,기타제조
012330,현대모비스,운송장비·부품
069960,현대백화점,유통
004560,현대비앤지스틸,금속
004310,현대약품,제약
017800,현대엘리베이,기계·장비
307950,현대오토에버,IT 서비스
011210,현대위아,운송장비·부품
004020,현대제철,금속
005440,현대지에프홀딩스,기타금융
005380,현대차,운송장비·부품
005387,현대차2우B,운송장비·부품
005389,현대차3우B,운송장비·부품
005385,현대차우,운송장비·부품
001500,현대차증권,증권
011760,현대코퍼레이션,유통
227840,현대코퍼레이션홀딩스,유통
126560,현대퓨처넷,통신
001450,현대해상,보험
057050,현대홈쇼핑,유통
093240,형지엘리트,섬유·의류
003010,혜인,유통
111110,호전실업,섬유·의류
008770,호텔신라,유통
008775,호텔신라우,유통
